"","type","X","Class","accus"
"1","Baseline",1,"Class1",0.968810601163542
"2","Baseline",2,"Class2",0.741111829347123
"3","Baseline",3,"Class3",0.866354234001293
"4","Baseline",4,"Class4",0.955478345184228
"5","Baseline",5,"Class5",0.95846800258565
"6","Baseline",6,"Class6",0.772543632837751
"7","Baseline",7,"Class7",0.954831932773109
"8","Baseline",8,"Class8",0.861102133160957
"9","Baseline",9,"Class9",0.921299288946348
"10","Regression",1,"Class1",0.00226244343891369
"11","Regression",2,"Class2",0.10213316095669
"12","Regression",3,"Class3",0.0116354234001291
"13","Regression",4,"Class4",0.00589851325145441
"14","Regression",5,"Class5",0.0374919198448613
"15","Regression",6,"Class6",0.19351971557854
"16","Regression",7,"Class7",0.00929217840982566
"17","Regression",8,"Class8",0.104234001292825
"18","Regression",9,"Class9",0.0463800904977373
